product_title,rating,summary,review,sentiment
OnePlus Bullets Wireless Z Bluetooth Headset,4,Delightful,"""Awesome bluetooth earphonesÃƒÂ¢Ã¢Â‚Â¬Ã‚Â¢ Nice and crisp sound",Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Wonderful,Mahn just go for it.Except the bit of lackness in bass everything is top notch,Positive
realme Buds Wireless Bluetooth Headset,5,Great product,Excellent quality...& Delivery very fast,Positive
BoAt BassHeads 100 Wired Headset,5,Brilliant,"""best sound",Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Nice product,It's okay,Positive
realme Buds 2 Wired Headset,4,Delightful,nice sound ÃƒÂ°Ã…Â¸Ã¢Â€Â˜Ã…Â’,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Fabulous!,Valvue for money...,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Excellent,Good,Positive
OnePlus Bullets Wireless Z Bluetooth Headset,4,Worth the money,"""Sound quality is the best Bass are low Build quality are the strong",Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Classy product,Excellent product...  Awesome  sound with very nice bass. connecting to all devices quickly. Call quality is very good. Battery last for very long time.,Positive
realme Buds Wireless Bluetooth Headset,5,Best in the market!,This product is too good quality is very good with this price this is a best deal thank you for Flipkart give me the such a nice product,Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Mind-blowing purchase,Bass is good........better than my Sennheiser cx180 earphonesI don't know why most of the people are comparing this with realme buds wireless....guys trust me one of my cousin have the same realme bluetooth headphones I listened to some music but I'm totally disappointed with realmeYou'll get irritated on full volume.Oneplus gives me a decent battery backup of 15-16 hrs.I usually compare every headphones with my Sennheiser cx180 and I must say oneplus is better than cx180.,Positive
realme Buds Wireless Bluetooth Headset,5,Best in the market!,osm buds,Positive
realme Buds Q Bluetooth Headset,4,Good choice,Build is very Good.Overall ear Buds is good ÃƒÂ¢Ã‹ÂœÃ‚ÂºÃƒÂ¯Ã‚Â¸Ã‚Â...after using 4 monthsSomething it will disconnect for a 2 sec. But it was facing very rare time,Positive
realme Buds Wireless Bluetooth Headset,5,Simply awesome,ÃƒÂ°Ã…Â¸Ã¢Â€Â˜Ã¢Â€Â°Superb quality from Realme. Music quality is awesome. All conditions are perfect. This is all time value for money and combination is good. Good work from Realme.   Thanks Flipkart.,Positive
realme Buds Q Bluetooth Headset,5,Fabulous!,Very nice buds,Positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5,Terrific,Very good product,Positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5,Highly recommended,Headphones is just osm. If u have to feel deep bass is there for u. low latency is work on utube but while I am typing on keyboard latency is more. Vocal and mids is ok but not superb but if u have listen it on high quality audio it is superb. Battery backup is osm reason to buy it is battery backup and deep bass.honest review!! Go for it .... I reviewed it after 8 days with used for full capacity,Positive
realme Buds Q Bluetooth Headset,4,Good choice,I genuinely like this product but the build quality of the case should be improve.,Positive
BoAt BassHeads 100 Wired Headset,5,Brilliant,Its a beast in this price segment. It is the best in-ear headset under 400. It has the best built quality as well as great sound quality with awesome clarity and bass. M using this headset since last 5 months and I am really satisfied with its performance.,Positive
BoAt Airdopes 131 Bluetooth Headset,5,Great product,Great,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Mind-blowing purchase,Fast delivery good sound quality thank you,Positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5,Classy product,Very very nice product . bass is amazing,Positive
realme Buds Q Bluetooth Headset,5,Brilliant,Awsm base great ÃƒÂ°Ã…Â¸Ã‹ÂœÃ…Â  nd sound quality is good.,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Awesome,"""I'm giving 5* for sound quality",Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Pretty good,Good sounds,Positive
BoAt BassHeads 100 Wired Headset,5,Brilliant,Good one. But not fitting for redmi mobiles. In my mi mobile only for call it's clear in case of songs or videos it's not good with noise cancellation. Felt bad. I thought it would be supported to all at the time of buying. But after receiving it's supports to all except redmi. Not checked with realme too.,Positive
realme Buds Wireless Bluetooth Headset,5,Simply awesome,really appreciate Best Performance super cool and smart toy's,Positive
realme Buds Q Bluetooth Headset,5,Awesome,Good,Positive
BoAt Airdopes 131 Bluetooth Headset,5,Great product,Very nice,Positive
BoAt Airdopes 131 Bluetooth Headset,5,Must buy!,Good,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Worth the money,Good earphone under 900 bucks,Positive
realme Buds Wireless Bluetooth Headset,5,Super!,Excellent headphones with very good sound quality in this price range,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Fabulous!,Osm... Boat rock 235v2,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Value-for-money,"""Sound is really good seeing the price range..I got it for 899/-",Positive
realme Buds 2 Wired Headset,5,Classy product,sound and bass is awesome .. I love this headphone with my new realme 3i ... awesome lovely ...,Positive
realme Buds Wireless Bluetooth Headset,4,Good choice,Advantage:- 1). new features of magnet on/off2). Good built quality3). quick connect4). sound quality is good Disadvantage:- 1). Buds weight is heavy.2). play/pose button is not feel in hand.3). irritated at first time,Positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5,Just wow!,U&i Titanic quality is awesome and looks are pretty sober the sound quality is also good bass lovers will love it  I had a minor audio very clear and awesome voice quality long hour battery back up 8 hours very awesome neck band,Positive
BoAt Airdopes 131 Bluetooth Headset,5,Perfect product!,Excellent qualify superb Sound ÃƒÂ°Ã…Â¸Ã¢Â€Â˜Ã…Â’,Positive
realme Buds Wireless Bluetooth Headset,5,Super!,Semma product....semma bass.... Even I'm using this on my jiophone..... excellent product realme.....thank you,Positive
BoAt BassHeads 100 Wired Headset,5,Super!,Bought this for a friend and he was very happy with it. Said the bass was satisfactory and the design is really cool too.,Positive
BoAt BassHeads 100 Wired Headset,4,Wonderful,Superb product against the price whats attract is the price and design and the amazing sound quality worth the price but quality should improve little,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Highly recommended,Very good,Positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5,Super!,"""Built quality is awesome.. Sound and bass quality is superb. Bluetooth connectivity is nice",Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Classy product,Best wireless headphones for oneplus Mobiles it supports warp charging 10 mins and battery life really awesome 20 hrs Sound clarity is good its supports Dolby sounds for oneplus 7t mobile.Under 2k it is one of the best headphone,Positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,4,Worth the money,Nice product,Positive
realme Buds Wireless Bluetooth Headset,5,Wonderful,Need to improve Button position and response with sound or beep... Music control ... Ow awesome quality.. Better comfortability... Better Bass... All is good in this price....,Positive
realme Buds Wireless Bluetooth Headset,5,Excellent,Awesome sound quality,Positive
BoAt BassHeads 100 Wired Headset,5,Simply awesome,pretty neat setup.sounds good with descent bass and good treble.the mic seems a bit far and the other person complains of having less volume on call via the mic. Rest all good!,Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Perfect product!,"""I got one day delivery and the product is excellent. It has features like quick switch",Positive
BoAt Airdopes 131 Bluetooth Headset,5,Highly recommended,"""Worth a single penny ÃƒÂ°Ã…Â¸Ã¢Â€Â˜Ã‚ÂÃƒÂ°Ã…Â¸Ã¢Â€Â˜Ã‚Â",Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Brilliant,"""The best bluetooth earphones under 2k. Sound is good ",Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Value-for-money,Nice,Positive
realme Buds 2 Wired Headset,5,Simply awesome,"""Best in the market ÃƒÂ°Ã…Â¸Ã‹ÂœÃ‚ÂÃƒÂ°Ã…Â¸Ã‹ÂœÃ‚ÂÃƒÂ°Ã…Â¸Ã‹ÂœÃ‚Â. Enjoying its feel the real bass ÃƒÂ°Ã…Â¸Ã‹ÂœÃ…Â’ÃƒÂ°Ã…Â¸Ã‹ÂœÃ…Â’. Good qualities of wire",Positive
realme Buds Q Bluetooth Headset,5,Mind-blowing purchase,Pros:-1- Realme branding with product quality assurance.2- fit to ear properly.3- Battery life is good.4- bass is excellent.Cons:-No active noise cancellation.No led shows battery indicator,Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Bass Is good.,Bass is really good don't go for realme just for bass all those reviews on youtube are baseless. Switch button is magic and battery backup is amazing,Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Awesome,Good quality and good looking.Oneplus to connecting power and bass is very strong and powerfullAnd absolutely good product.,Positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5,Great product,In love with this one.,Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Must buy!,"""There is no any negative review for this and it is very good whatever I will tell it will not be enough for this product",Positive
OnePlus Bullets Wireless Z Bluetooth Headset,4,Really Nice,"""i am confused between realme and oneplus after compare i bought oneplusPro-1) Awesome ÃƒÂ°Ã…Â¸Ã‹ÂœÃ‚ÂÃƒÂ°Ã…Â¸Ã‹ÂœÃ‚ÂÃƒÂ°Ã…Â¸Ã‚Â¥Ã‚Â° ÃƒÂ°Ã…Â¸Ã¢Â€ÂÃ¢Â€Â¹ backup minimum 18 hours2) Awesome  ÃƒÂ°Ã…Â¸Ã…Â½Ã‚Â§ÃƒÂ°Ã…Â¸Ã…Â½Ã‚Â· quality3) good build quality4) comfortable in ÃƒÂ°Ã…Â¸Ã¢Â€Â˜Ã¢Â€Âš",Positive
BoAt BassHeads 100 Wired Headset,4,Very Good,nice headfone ... very good bird wing looks ... bass is best .... sound is also nice ... but wire is thin .... and with in buget,Positive
realme Buds Wireless Bluetooth Headset,5,Just wow!,superb sound quality and flexible product,Positive
OnePlus Bullets Wireless Z Bluetooth Headset,4,Really Nice,There  I bought it for 1999 these were value for money and Even I wish the design and build quality was so good and I would like thank Flipkart delivery. Boys they r serving people in this pandamic situation so good to be a Flipkart plus coustmer,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Worth every penny,"""I was amazed by its 3d sound feel in my friend mi note 4",Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Fabulous!,Headset is very nice but vibrate was very high . so if not safe feel this one . but every thing its ok,Positive
BoAt Airdopes 131 Bluetooth Headset,5,Awesome,Simply super and getting the product for worthable price .,Positive
realme Buds 2 Wired Headset,5,Fabulous!,"""Awesome earphones",Positive
BoAt Airdopes 131 Bluetooth Headset,5,Perfect product!,Feeling woowww,Positive
realme Buds Q Bluetooth Headset,5,Just wow!,Nice product.Thank you realme,Positive
realme Buds Wireless Bluetooth Headset,5,Perfect product!,Very nice product nice battery backup to good and build design nice,Positive
BoAt BassHeads 100 Wired Headset,4,Worth the money,really good quality at this price . has a decent bass. For me the bass is great,Positive
BoAt Airdopes 131 Bluetooth Headset,5,Fabulous!,"""It's nice overall mainly because of the low price. It has pressable button towards the outer part by pressing which one can receive/reject call",Positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5,Wonderful,Very good product..sound clearly is very good ..battery is long lasting... Full day battery works while talking and watching movies .. Worth it,Positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5,Brilliant,Best sound & bass quality,Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Wonderful,"""First of all thanks to Flipkart to on time delivary with out any issues and also my fevourite online shoping app coming to one plus zbullet I m using these z earphones from last three days sound quality was pretty good ",Positive
realme Buds Q Bluetooth Headset,4,Value-for-money,It's a good product with right price.,Positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5,Brilliant,go for it.at this price change .this is the best wireless earphone.it battery backup gives near about 10 hr.,Positive
realme Buds 2 Wired Headset,5,Fabulous!,"""Am using realme buds 2 last 5 days.  Really best product . Sound quality",Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Great product,Sup...,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Excellent,"""Excellent Sound ÃƒÂ°Ã…Â¸Ã¢Â€ÂÃ…Â  quality Bass Awesome... True Review Nice design",Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Excellent,"""OnePlus wireless buds is amazing sound quality with battery backup in this price range",Positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5,Great product,Super,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Nice product,"""Every thing is good",Positive
realme Buds Wireless Bluetooth Headset,5,Terrific,"""I like the product quality. Sound especially the bass is ok not like Bose or Sony but good enough. IPX5 rating definitely like as I use it during exercise. Calls",Positive
realme Buds Q Bluetooth Headset,5,Wonderful,Good ear buds excellent ÃƒÂ°Ã…Â¸Ã¢Â€Â˜Ã‚Â,Positive
OnePlus Bullets Wireless Z Bluetooth Headset,4,Nice product,"""The earphones are good and worthy for Rs.1999. They give best experience for recorded videos",Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Fabulous!,Value for money,Positive
BoAt BassHeads 100 Wired Headset,5,Best in the market!,Pretty impressed regarding the price it demands. Not tremendous bass to be expected but the clarity is upto the mark and has basic bass output.,Positive
BoAt BassHeads 100 Wired Headset,5,Mind-blowing purchase,"""fantastic ",Positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5,Highly recommended,Super,Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Great product,"""So to the people who are saying that the bass is low",Positive
realme Buds 2 Wired Headset,5,Fabulous!,this is a very good product very good sound quality and feel the real base,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Must buy!,Awesom designing...,Positive
BoAt BassHeads 100 Wired Headset,5,Must buy!,"""Excellent product",Positive
BoAt Airdopes 131 Bluetooth Headset,4,Very Good,Bass is poor but sounds is good and affordable price,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Brilliant,Supar,Positive
realme Buds Q Bluetooth Headset,5,Brilliant,Really awesome product ÃƒÂ°Ã…Â¸Ã‹ÂœÃ‹Âœ,Positive
realme Buds Wireless Bluetooth Headset,5,Must buy!,"""Ya it's really good Bluetooth headset",Positive
realme Buds Q Bluetooth Headset,4,Good choice,"""Genuine review (after 1 week of use)",Positive
BoAt BassHeads 100 Wired Headset,5,Perfect product!,In this price range... this earphone is perfectÃƒÂ°Ã…Â¸Ã¢Â€Â˜Ã…Â’ÃƒÂ°Ã…Â¸Ã¢Â€Â˜Ã…Â’ Overall bass is great and clarity is good..Way more better than normal white classic Samsung earphone that comes with cheap samsung phones,Positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5,Best in the market!,Good,Positive
realme Buds Wireless Bluetooth Headset,5,Best in the market!,"""This is super.Very good sound Very good baddBattery backup is good ",Positive
realme Buds 2 Wired Headset,4,Pretty good,Bass is super but while talking on call voice is not that clear and crispy...Lookiwise design is good but doesn't fit in ear as expected. Slips from ear.,Positive
realme Buds Q Bluetooth Headset,5,Awesome,Nice ÃƒÂ°Ã…Â¸Ã‹ÂœÃ…Â ÃƒÂ°Ã…Â¸Ã¢Â€Â˜Ã‚Â,Positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,4,Really Nice,Good in this price,Positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,4,Nice product,Good product,Positive
BoAt Airdopes 131 Bluetooth Headset,4,Pretty good,Very good ÃƒÂ¢Ã‹ÂœÃ‚ÂºÃƒÂ¯Ã‚Â¸Ã‚Â,Positive
BoAt Airdopes 131 Bluetooth Headset,5,Fabulous!,Nice,Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Super!,Super,Positive
BoAt BassHeads 100 Wired Headset,5,Great product,It is good.It gets excellent bass it high sound.But bass is low sometimes.Sometimes it does not fit in the ear.But it is good earphones.It is avery good earphone at this rate.,Positive
